index,NCT,Sponsor,Start_Year,Start_Month,Phase,Enrollment,Status,Condition
8519,NCT00347360,GSK,2006,7,Phase 3,654,Completed,Hypertension
8520,NCT00871000,GSK,2009,4,Phase 3,303,Completed,Diphtheria
8521,NCT02923895,GSK,2016,10,Phase 4,197,Completed,Dentin Sensitivity
8522,NCT00725712,GSK,2007,3,Phase 2,74,Completed,Gastrointestinal Neoplasms
8523,NCT00148941,GSK,2005,1,Phase 3,4087,Completed,Diphtheria
8524,NCT01098487,GSK,2010,5,Phase 4,167,Completed,"Purpura, Thrombocytopenic, Idiopathic"
8525,NCT03258710,GSK,2017,10,Phase 4,65,"Active, not recruiting","Hepatitis, Chronic"
8526,NCT01691820,GSK,2012,10,,370,Completed,Cytomegalovirus Infections
8527,NCT00449670,GSK,2007,3,Phase 3,1206,Completed,"Influenza, Human"
8528,NCT00486954,GSK,2007,7,Phase 3,273,Completed,Gastrointestinal Neoplasms
8529,NCT02064387,GSK,2014,7,Phase 1,79,"Active, not recruiting",Multiple Myeloma
8530,NCT00403962,GSK,2004,11,Phase 2,204,Completed,"Phobia, Social"
8531,NCT01711749,GSK,2013,2,Phase 1,60,Completed,Hypercholesterolemia
8532,NCT02135692,GSK,2014,5,Phase 3,339,Completed,Asthma
8533,NCT00135564,GSK,2003,1,Phase 2,500,Completed,Meningococcal Infections
8534,NCT01520909,GSK,2012,3,Phase 3,92,Completed,"Purpura, Thrombocytopenic, Idiopathic"
8535,NCT03443427,GSK,2018,3,Phase 2,200,"Active, not recruiting",Respiration Disorders
8536,NCT02045836,GSK,2014,3,Phase 3,865,Completed,Herpes Zoster
8537,NCT00549328,GSK,2008,2,Phase 2,14,Terminated,Lung Neoplasms
8538,NCT03075410,GSK,2017,4,Phase 1,31,Completed,Tuberculosis
8539,NCT00938158,GSK,2009,8,Phase 1,75,Completed,"Diabetes Mellitus, Type 2"
8540,NCT00632736,GSK,2004,2,Phase 3,419,Completed,Parkinson Disease
8541,NCT00102492,GSK,2004,10,Phase 2,356,Completed,"Depressive Disorder, Major"
8542,NCT03170232,GSK,2017,10,Phase 2,100,Recruiting,Disease Progression
8543,NCT01128634,GSK,2010,3,Phase 1,32,Completed,"Pulmonary Disease, Chronic Obstructive"
8544,NCT00197106,GSK,2005,6,Phase 4,176,Completed,Asthma
8545,NCT01658605,GSK,2013,2,Phase 2,0,Withdrawn,"Colitis, Ulcerative"
8546,NCT00820924,GSK,2008,6,Phase 2,23,Terminated,Breast Neoplasms
8547,NCT01738867,GSK,2012,12,Phase 1,56,Completed,Alcoholism
8548,NCT02666287,GSK,2016,1,Phase 1,48,Completed,"Pulmonary Disease, Chronic Obstructive"
8549,NCT00651534,GSK,2008,2,Phase 1,32,Completed,Osteoporosis
8550,NCT01366534,GSK,2011,8,Phase 2,67,Completed,Malaria
8551,NCT00718120,GSK,2008,7,Phase 3,110,Completed,"Influenza, Human"
8552,NCT00377728,GSK,2006,3,Phase 2,44,Completed,"Rhinitis, Allergic, Seasonal"
8553,NCT00980200,GSK,2009,9,Phase 2,75,Completed,Asthma
8554,NCT02119156,GSK,2014,5,Phase 3,163,"Active, not recruiting","Lupus Erythematosus, Systemic"
8555,NCT01657526,GSK,2012,8,Phase 1,48,Completed,Respiration Disorders
8556,NCT00351923,GSK,2006,3,Phase 3,330,Completed,Measles
8557,NCT00345956,GSK,2006,9,Phase 3,375,Completed,Rotavirus Infections
8558,NCT01673490,GSK,2012,6,Phase 4,59,Terminated,Prostatic Hyperplasia
8559,NCT00501397,GSK,2007,2,Phase 1,22,Completed,"Diabetes Mellitus, Type 2"
8560,NCT00411190,GSK,2006,10,Phase 1,32,Completed,Osteoarthritis
8561,NCT02999100,GSK,2016,11,Phase 1,30,Recruiting,Postpartum Hemorrhage
8562,NCT00659178,GSK,2008,6,Phase 1,15,Completed,Ovarian Neoplasms
8563,NCT01686633,GSK,2012,9,Phase 3,1040,Completed,Asthma
8564,NCT00434304,GSK,2007,4,Phase 2,62,Completed,Parkinson Disease
8565,NCT00861029,GSK,2009,3,Phase 1,2,Completed,"Carcinoma, Renal Cell"
8566,NCT00950586,GSK,2009,8,Phase 1,48,Completed,Cognition Disorders
8567,NCT01453049,GSK,2010,4,Phase 3,86,Terminated,"Diabetes Mellitus, Type 2"
8568,NCT01309646,GSK,2011,3,Phase 3,454,Completed,Poliomyelitis
8569,NCT01318993,GSK,2011,4,Phase 3,399,Terminated,Crohn Disease
8570,NCT01171989,GSK,2010,8,Phase 2,391,Completed,Diphtheria
8571,NCT00422994,GSK,2006,4,Phase 1,48,Completed,Restless Legs Syndrome
8572,NCT01154062,GSK,2010,8,Phase 1,15,Completed,Macular Degeneration
8573,NCT00065182,GSK,2003,8,Phase 2,408,Completed,Lung Neoplasms
8574,NCT01457950,GSK,2011,11,Phase 3,135,Completed,"Osteoporosis, Postmenopausal"
8575,NCT01147744,GSK,2010,6,Phase 2,700,Completed,Asthma
8576,NCT00811733,GSK,2009,3,Phase 2,37,Completed,Waldenstrom Macroglobulinemia
8577,NCT00508833,GSK,2000,3,Phase 1/Phase 2,200,Completed,Hepatitis B
8578,NCT00857766,GSK,2009,3,Phase 4,249,Completed,"Pulmonary Disease, Chronic Obstructive"
8579,NCT00714285,GSK,2008,7,Phase 1,420,Completed,"Influenza, Human"
8580,NCT01827631,GSK,2013,5,Phase 1,21,Completed,Crohn Disease
8581,NCT00554619,GSK,2008,2,Phase 3,21,Completed,"Hypertension, Pulmonary"
8582,NCT01406262,GSK,2011,7,Phase 1,94,Completed,"Diabetes Mellitus, Type 2"
8583,NCT01254019,GSK,2010,12,Phase 3,186,Completed,Muscular Dystrophies
8584,NCT01059591,GSK,2006,5,Phase 1,26,Completed,Depressive Disorder
8585,NCT00196963,GSK,2005,3,Phase 2,125,Completed,Meningococcal Infections
8586,NCT01573819,GSK,2011,11,Phase 1,36,Completed,Huntington Disease
8587,NCT01762774,GSK,2013,1,Phase 1,56,Completed,"Pulmonary Disease, Chronic Obstructive"
8588,NCT01657903,GSK,2011,11,,56,Completed,Tooth Erosion
8589,NCT00349349,GSK,2006,6,Phase 2,223,Completed,"Leukemia, Lymphocytic, Chronic, B-Cell"
8590,NCT00699764,GSK,1996,3,Phase 3,2491,Completed,Herpes Simplex
8591,NCT00008554,GSK,2000,11,Phase 3,210,Unknown status,HIV Infections
8592,NCT00697749,GSK,1999,4,Phase 3,230,Completed,Hepatitis B
8593,NCT00370331,GSK,2006,11,Phase 3,197,Completed,"Purpura, Thrombocytopenic, Idiopathic"
8594,NCT02000765,GSK,2013,11,Phase 1,6,Completed,Respiratory Tract Infections
8595,NCT01587807,GSK,2012,3,Phase 1,53,Completed,Respiration Disorders
8596,NCT00419692,GSK,2006,8,Phase 1,32,Completed,Restless Legs Syndrome
8597,NCT00422604,GSK,2006,10,Phase 2,60,Completed,"Pulmonary Disease, Chronic Obstructive"
8598,NCT01710527,GSK,2012,5,Phase 2,32,Completed,Diabetic Foot
8599,NCT00697775,GSK,1998,3,Phase 2,200,Completed,Hepatitis B
8600,NCT00642148,GSK,2008,2,Phase 2,306,Completed,"Pulmonary Disease, Chronic Obstructive"
8601,NCT00610168,GSK,2008,1,Phase 4,82,Completed,Tetanus
8602,NCT00244725,GSK,2005,9,Phase 2,961,Completed,Venous Thromboembolism
8603,NCT01017952,GSK,2009,9,Phase 3,1635,Completed,"Pulmonary Disease, Chronic Obstructive"
8604,NCT00289757,GSK,2004,1,Phase 4,78,Completed,Hepatitis A
8605,NCT03245619,GSK,2017,8,Phase 1,8,Terminated,"Pancreatitis, Acute Necrotizing"
8606,NCT01036022,GSK,2009,9,Phase 2,120,Completed,"Colitis, Ulcerative"
8607,NCT00354536,GSK,2006,2,Phase 2,60,Completed,"Diabetes Mellitus, Type 2"
8608,NCT00969059,GSK,2009,8,Phase 2,168,Completed,Neuralgia
8609,NCT02730364,GSK,2017,2,Phase 3,0,Withdrawn,Respiratory Tract Infections
8610,NCT01138033,GSK,2010,7,Phase 1,74,Completed,Tissue Adhesions
8611,NCT00406003,GSK,2006,3,Phase 1,6,Completed,Depressive Disorder
8612,NCT02075463,GSK,2014,6,Phase 2,15,Terminated,Anemia
8613,NCT01563029,GSK,2012,3,Phase 2,597,Completed,Asthma
8614,NCT02793154,GSK,2016,9,Phase 4,4,Terminated,"Diabetes Mellitus, Type 2"
8615,NCT02096263,GSK,2014,4,Phase 3,585,Completed,Poliomyelitis
8616,NCT00281684,GSK,2005,12,Phase 2,145,Completed,Toothache
8617,NCT01248975,GSK,2010,12,Phase 2,145,Completed,Asthma
8618,NCT00992758,GSK,1999,5,Phase 1,11,Completed,"Lymphoma, Non-Hodgkin"
8619,NCT00140712,GSK,2005,6,Phase 1,9,Completed,Restless Legs Syndrome
8620,NCT03015519,GSK,2017,8,Phase 3,0,Withdrawn,"Diabetes Mellitus, Type 2"
8621,NCT00615212,GSK,2008,1,Phase 1,23,Completed,"Diabetes Mellitus, Type 2"
8622,NCT00386100,GSK,2006,10,Phase 4,688,Completed,"Diabetes Mellitus, Type 2"
8623,NCT00312013,GSK,2006,5,Phase 3,503,Completed,Venous Thrombosis
8624,NCT00158808,GSK,2005,1,Phase 2,175,Completed,Hepatitis B
8625,NCT00616928,GSK,2008,1,Phase 3,4561,Completed,"Influenza, Human"
8626,NCT01235949,GSK,2010,11,Phase 4,850,Completed,Streptococcal Infections
8627,NCT00348309,GSK,2006,7,,1496,Completed,Alzheimer Disease
8628,NCT01730378,GSK,2012,12,Phase 4,131,Completed,"Influenza, Human"
8629,NCT00127010,GSK,2005,11,Phase 3,0,Completed,Measles
8630,NCT01039675,GSK,2010,1,Phase 2,51,Completed,"Pulmonary Disease, Chronic Obstructive"
8631,NCT00158834,GSK,1999,11,Phase 3,200,Completed,Asthma
8632,NCT01495026,GSK,2011,11,Phase 1,63,Completed,Prostatic Hyperplasia
8633,NCT01047397,GSK,2010,3,Phase 2,107,Completed,Kidney Diseases
8634,NCT01294605,GSK,2003,4,Phase 4,460,Completed,Diphtheria
8635,NCT01235975,GSK,2010,11,Phase 3,400,Completed,Meningococcal Infections
8636,NCT00495469,GSK,2007,8,Phase 2,250,Completed,"Diabetes Mellitus, Type 2"
8637,NCT01458054,GSK,2011,9,Phase 1,28,Completed,Hepatitis C
8638,NCT00547248,GSK,2007,10,Phase 3,756,Completed,Streptococcal Infections
8639,NCT00633217,GSK,2008,3,Phase 4,247,Completed,"Pulmonary Disease, Chronic Obstructive"
8640,NCT00515268,GSK,2007,9,Phase 1,37,Completed,"Pulmonary Disease, Chronic Obstructive"
8641,NCT02992691,GSK,2016,12,,75,Completed,Dental Plaque
8642,NCT00891293,GSK,2006,3,Phase 4,93,Completed,Hypertriglyceridemia
8643,NCT00694902,GSK,2008,5,Phase 1,24,Completed,"Pulmonary Disease, Chronic Obstructive"
8644,NCT00635128,GSK,2008,2,Phase 4,415,Completed,Diphtheria
8645,NCT01475851,GSK,2011,12,Phase 3,34,Completed,Hepatitis B
8646,NCT01267968,GSK,2011,1,Phase 1,25,Completed,Community-Acquired Infections
8647,NCT02270944,GSK,2014,11,Phase 2,1053,Completed,Streptococcal Infections
8648,NCT02956837,GSK,2016,11,Phase 1/Phase 2,406,Completed,Respiratory Syncytial Virus Infections
8649,NCT00861809,GSK,2009,6,Phase 2,11,Completed,Gastroparesis
8650,NCT01584843,GSK,2012,5,Phase 3,41,Completed,Strabismus
8651,NCT00452686,GSK,2007,3,Phase 3,660,Completed,Diphtheria
8652,NCT00386698,GSK,2006,10,Phase 2,200,Completed,"Influenza, Human"
8653,NCT01691560,GSK,2012,8,Phase 2,140,Completed,Hypersensitivity
8654,NCT00976391,GSK,2009,9,Phase 3,586,Completed,"Diabetes Mellitus, Type 2"
8655,NCT01767584,GSK,2009,4,Phase 1,26,Completed,Respiratory Tract Infections
8656,NCT01562444,GSK,2012,3,Phase 4,206,Completed,"Encephalitis, Tick-Borne"
8657,NCT01270958,GSK,2009,8,Phase 4,60,Completed,"Rhinitis, Allergic, Perennial"
8658,NCT03363191,GSK,2018,3,Phase 4,0,Withdrawn,Asthma
8659,NCT00698490,GSK,1995,8,Phase 1/Phase 2,130,Completed,Herpes Simplex
8660,NCT03409107,GSK,2018,3,Phase 3,600,Recruiting,Anemia
8661,NCT01494649,GSK,2011,9,,118,Completed,Hypersensitivity
8662,NCT01622231,GSK,2012,6,Phase 3,61,Completed,Rhinitis
8663,NCT01245049,GSK,2011,4,Phase 3,387,Completed,Poliomyelitis
8664,NCT00231387,GSK,2002,9,Phase 3,60,Completed,Diabetes Mellitus
8665,NCT00310375,GSK,2006,5,Phase 3,181,Completed,Epilepsy
8666,NCT01205451,GSK,2010,9,Phase 3,109,Completed,Stroke
8667,NCT00976144,GSK,2009,7,Phase 1,16,Completed,"Pulmonary Disease, Chronic Obstructive"
8668,NCT03191383,GSK,2017,7,Phase 2,0,Withdrawn,Respiratory Syncytial Virus Infections
8669,NCT00370318,GSK,2006,9,Phase 3,400,Completed,Rotavirus Infections
8670,NCT00197249,GSK,2002,5,Phase 3,1034,Completed,Hepatitis A
8671,NCT01916200,GSK,2014,1,Phase 4,0,Withdrawn,Depressive Disorder
8672,NCT03012061,GSK,2017,1,Phase 2,425,Completed,Asthma
8673,NCT00197275,GSK,2006,2,Phase 3,800,Completed,Tetanus
8674,NCT00659555,GSK,2008,4,Phase 1,24,Completed,Macular Degeneration
8675,NCT03234036,GSK,2017,8,Phase 1,26,Completed,Acquired Immunodeficiency Syndrome
8676,NCT02094924,GSK,2014,4,Phase 1,16,Completed,Hypertension
8677,NCT02135640,GSK,2014,7,Phase 1,64,Completed,Osteoporosis
8678,NCT01294566,GSK,2010,11,Phase 1,17,Completed,Gastroparesis
8679,NCT00382993,GSK,2006,12,Phase 3,169,Completed,Migraine Disorders
8680,NCT01154088,GSK,2010,8,Phase 3,1170,Completed,Meningococcal Infections
8681,NCT01395888,GSK,2011,6,Phase 3,260,Completed,"Pulmonary Disease, Chronic Obstructive"
8682,NCT00384306,GSK,2004,6,Phase 1,9,Completed,"Pulmonary Disease, Chronic Obstructive"
8683,NCT00196976,GSK,2005,3,Phase 2,461,Completed,Meningococcal Infections
8684,NCT00196989,GSK,2005,9,Phase 2,448,Completed,"Diabetes Mellitus, Type 2"
8685,NCT03044353,GSK,2017,7,Phase 2,30,Suspended,Amyloidosis
8686,NCT03408392,GSK,2018,2,Phase 1,28,Completed,Bacterial Infections
8687,NCT02547974,GSK,2015,8,Phase 1,120,Completed,Respiration Disorders
8688,NCT00005663,GSK,1999,6,Phase 3,0,Unknown status,Herpes Simplex
8689,NCT00652951,GSK,2008,4,Phase 3,780,Completed,Streptococcal Infections
8690,NCT01521390,GSK,2011,10,Phase 1,15,Completed,"Pulmonary Disease, Chronic Obstructive"
8691,NCT00548769,GSK,2007,4,Phase 1,37,Completed,Multiple Sclerosis
8692,NCT00485069,GSK,2007,6,Phase 4,123,Completed,Parkinson Disease
8693,NCT01457560,GSK,2000,2,Phase 3,80,Completed,Hepatitis B
8694,NCT00496015,GSK,2007,7,Phase 3,750,Completed,Streptococcal Infections
8695,NCT00413023,GSK,2005,6,Phase 2,348,Completed,"Depressive Disorder, Major"
8696,NCT01295320,GSK,2011,2,Phase 2,129,Completed,Herpes Zoster
8697,NCT00743860,GSK,2008,9,Phase 1,20,Completed,Atherosclerosis
8698,NCT00627458,GSK,2008,2,Phase 2,403,Completed,Diphtheria
8699,NCT00508365,GSK,2007,9,Phase 1,62,Completed,Hypertension
8700,NCT01313637,GSK,2011,3,Phase 3,1493,Completed,"Pulmonary Disease, Chronic Obstructive"
8701,NCT03294135,GSK,2017,10,Phase 4,200,"Active, not recruiting",Virus Diseases
8702,NCT03311659,GSK,2018,1,Phase 3,448,Completed,Diphtheria
8703,NCT00455923,GSK,2005,5,Phase 4,100,Completed,Asthma
8704,NCT00140673,GSK,2003,8,Phase 3,63227,Completed,Rotavirus Infections
8705,NCT02658422,GSK,2015,8,Phase 1,32,Completed,Respiration Disorders
8706,NCT02014467,GSK,2014,1,Phase 3,486,Completed,"Osteoporosis, Postmenopausal"
8707,NCT00421720,GSK,2007,1,Phase 4,164,Terminated,Agnosia
8708,NCT01171963,GSK,2010,8,Phase 3,3340,Completed,Rotavirus Infections
8709,NCT00568334,GSK,2007,11,Phase 2,244,Completed,Chickenpox
8710,NCT03527173,GSK,2018,8,Phase 2/Phase 3,72,Recruiting,"Dysentery, Bacillary"
8711,NCT00437632,GSK,2007,3,Phase 1,104,Completed,Substance-Related Disorders
8712,NCT00975936,GSK,2009,9,Phase 1,12,Completed,Autoimmune Diseases
8713,NCT00722293,GSK,2008,7,Phase 1,111,Completed,Breast Neoplasms
8714,NCT01328106,GSK,2010,11,Phase 2,0,Withdrawn,Melanoma
8715,NCT00849017,GSK,2009,1,Phase 3,309,Completed,"Diabetes Mellitus, Type 2"
8716,NCT00002442,GSK,1999,6,Phase 2,0,Completed,HIV Infections
8717,NCT00169585,GSK,2005,3,Phase 3,240,Completed,Prostatic Hyperplasia
8718,NCT00839527,GSK,2009,2,Phase 3,685,Completed,"Diabetes Mellitus, Type 2"
8719,NCT02578953,GSK,2015,9,Phase 1,36,Completed,Prostatic Hyperplasia
8720,NCT01857869,GSK,2013,5,Phase 2,64,Completed,Malaria
8721,NCT00480649,GSK,2004,1,Phase 4,424,Completed,Asthma
8722,NCT03285984,GSK,2012,3,,56,Completed,Dental Plaque
8723,NCT01381419,GSK,2008,10,Phase 1,21,Completed,Schizophrenia
8724,NCT00405119,GSK,2006,5,Phase 2,92,Completed,Gastroesophageal Reflux
8725,NCT00814489,GSK,2009,1,Phase 1,40,Completed,Pneumonia
8726,NCT00307541,GSK,2005,10,Phase 3,120,Completed,Streptococcal Infections
8727,NCT00440323,GSK,2007,1,Phase 1,52,Completed,Sleep Initiation and Maintenance Disorders
8728,NCT01867996,GSK,2013,6,Phase 1,18,Completed,"Obstetric Labor, Premature"
8729,NCT01797926,GSK,2013,5,Phase 1,102,Completed,Hypertension
8730,NCT01122849,GSK,2009,10,Phase 2,61,Completed,Sleep Wake Disorders
8731,NCT00289185,GSK,2006,9,Phase 2,340,Completed,Malaria
8732,NCT00412854,GSK,2007,1,Phase 3,660,Completed,Diphtheria
8733,NCT03649412,GSK,2018,9,Phase 1,32,Recruiting,Autoimmune Diseases
8734,NCT02082639,GSK,2015,2,Phase 3,0,Withdrawn,Hepatitis A
8735,NCT00575159,GSK,2008,3,Phase 2,10,Completed,"Diabetes Mellitus, Type 1"
8736,NCT02124798,GSK,2014,5,Phase 2,95,Completed,"Lupus Erythematosus, Systemic"
8737,NCT00323622,GSK,2005,4,Phase 2,1737,Completed,Malaria
8738,NCT01218204,GSK,2010,9,Phase 2,287,Completed,Dyslipidemias
8739,NCT01192191,GSK,2010,8,Phase 3,187,Completed,"Pulmonary Disease, Chronic Obstructive"
8740,NCT01144299,GSK,2010,6,Phase 3,114,Completed,"Influenza, Human"
8741,NCT02246166,GSK,2015,1,Phase 4,53,Completed,Common Cold
8742,NCT01110031,GSK,2010,5,Phase 1,12,Completed,"Leukemia, Lymphocytic, Chronic, B-Cell"
8743,NCT01027845,GSK,2009,12,Phase 3,360,Completed,Streptococcal Infections
8744,NCT02052752,GSK,2014,2,Phase 4,90,Completed,Skin Diseases
8745,NCT00289783,GSK,2006,2,Phase 3,4441,Completed,"Influenza, Human"
8746,NCT00442871,GSK,2006,9,Phase 1,29,Completed,"Purpura, Thrombocytopenic, Idiopathic"
8747,NCT00310388,GSK,2006,7,Phase 3,376,Terminated,Epilepsy
8748,NCT00046176,GSK,2002,8,Phase 3,240,Completed,HIV Infections
8749,NCT02836496,GSK,2017,3,Phase 3,120,Recruiting,Hypereosinophilic Syndrome
8750,NCT00316706,GSK,2005,10,Phase 3,1245,Completed,Cervical Intraepithelial Neoplasia
8751,NCT00969072,GSK,2003,8,Phase 2,121,Completed,Prostatic Hyperplasia
8752,NCT00448435,GSK,2007,4,Phase 3,51,Completed,Asthma
8753,NCT02293161,GSK,2014,11,Phase 1,18,Completed,Autoimmune Diseases
8754,NCT00259987,GSK,2005,11,Phase 2,24,Completed,Adenocarcinoma
8755,NCT02212457,GSK,2014,8,Phase 2,1063,Completed,Meningococcal Infections
8756,NCT03446612,GSK,2018,10,Phase 2,50,Not yet recruiting,Anemia
8757,NCT00197288,GSK,2005,10,Phase 3,1847,Completed,"Influenza, Human"
8758,NCT01153685,GSK,2010,7,Phase 3,120,Completed,"Influenza, Human"
8759,NCT00343707,GSK,2004,11,Phase 2,72,Completed,Depressive Disorder
8760,NCT00461500,GSK,2007,3,Phase 4,81,Completed,Asthma
8761,NCT01096056,GSK,2010,4,Phase 1,40,Completed,"Influenza, Human"
8762,NCT01818011,GSK,2013,8,Phase 1,12,Terminated,Bacterial Infections
8763,NCT02567708,GSK,2015,10,Phase 2,50,Completed,"Pulmonary Disease, Chronic Obstructive"
8764,NCT02502812,GSK,2015,9,Phase 1,18,Completed,Cardiovascular Diseases
8765,NCT00693706,GSK,2008,6,Phase 1,200,Completed,"Influenza, Human"
8766,NCT00984139,GSK,2009,10,Phase 4,306,Completed,Hepatitis B
8767,NCT00333021,GSK,2006,5,Phase 3,127,Completed,Venous Thromboembolism
8768,NCT00044577,GSK,2002,7,Phase 3,166,Completed,HIV Infections
8769,NCT02224456,GSK,2015,3,Phase 4,240,"Active, not recruiting","Hepatitis, Chronic"
8770,NCT00427596,GSK,2007,1,Phase 1,18,Completed,"Urinary Bladder, Overactive"
8771,NCT03666988,GSK,2018,10,Phase 1,215,Recruiting,"Lymphoma, Large B-Cell, Diffuse"
8772,NCT01431963,GSK,2011,9,Phase 3,70,Completed,Epilepsy
8773,NCT00664365,GSK,2008,4,Phase 1,21,Completed,Premature Ejaculation
8774,NCT03248128,GSK,2017,10,Phase 3,870,Recruiting,Asthma
8775,NCT00474864,GSK,2007,7,Phase 2,66,Completed,Dyslipidemias
8776,NCT03029208,GSK,2017,5,Phase 3,300,Recruiting,Anemia
8777,NCT00253058,GSK,2005,7,Phase 3,286,Completed,"Rhinitis, Allergic, Perennial"
8778,NCT00866619,GSK,2009,3,Phase 3,15459,Completed,Malaria
8779,NCT01506895,GSK,2012,2,Phase 2,54,Completed,Diabetic Retinopathy
8780,NCT01879410,GSK,2013,6,Phase 3,700,Completed,Chronic Disease
8781,NCT01077531,GSK,2010,4,Phase 1,12,Terminated,"Arthritis, Rheumatoid"
8782,NCT02901951,GSK,2016,10,Phase 4,106,Completed,Hepatitis B
8783,NCT00871403,GSK,2009,7,Phase 2,107,Completed,Lung Neoplasms
8784,NCT01037114,GSK,2010,1,Phase 4,50,Completed,Hepatitis A
8785,NCT03311074,GSK,2018,10,Phase 4,15,Not yet recruiting,Immune System Diseases
8786,NCT00439959,GSK,2006,10,Phase 1,48,Terminated,Hepatitis C
8787,NCT02447432,GSK,2015,6,Phase 3,320,Completed,Streptococcal Infections
8788,NCT00723775,GSK,2008,7,Phase 1,17,Completed,HIV Infections
8789,NCT01431976,GSK,2011,9,Phase 3,20,Completed,"Epilepsy, Absence"
8790,NCT00002245,GSK,1999,4,Phase 3,0,Completed,HIV Infections
8791,NCT00457925,GSK,2006,10,Phase 1,6,Completed,"Obstetric Labor, Premature"
8792,NCT01431989,GSK,2011,5,Phase 1,28,Completed,Bacterial Infections
8793,NCT00615576,GSK,2008,3,Phase 1,13,Completed,"Pulmonary Disease, Chronic Obstructive"
8794,NCT00140738,GSK,2005,3,Phase 1,3,Completed,Breast Neoplasms
8795,NCT01144663,GSK,2010,7,Phase 3,2095,Completed,Meningococcal Infections
8796,NCT00064467,GSK,2003,6,Phase 3,268,Completed,"Depressive Disorder, Major"
8797,NCT01340898,GSK,2012,1,Phase 3,753,Completed,Meningococcal Infections
8798,NCT00318058,GSK,2005,10,Phase 1,84,Completed,"Influenza, Human"
8799,NCT00501020,GSK,2001,6,Phase 4,750,Completed,"Diabetes Mellitus, Type 2"
8800,NCT03028467,GSK,2017,1,Phase 2,15,Completed,"Arthritis, Rheumatoid"
8801,NCT01406314,GSK,2011,10,Phase 1,17,Completed,Amyloidosis
8802,NCT01245062,GSK,2010,11,Phase 3,322,Completed,Melanoma
8803,NCT00733980,GSK,2008,10,Phase 2,150,Completed,"Depressive Disorder, Major"
8804,NCT00492648,GSK,2007,6,Phase 2,34,Completed,Herpes Zoster
8805,NCT00929331,GSK,2009,7,Phase 3,110,Completed,"Influenza, Human"
8806,NCT02654145,GSK,2016,3,Phase 4,145,Completed,Asthma
8807,NCT01110018,GSK,2010,4,Phase 1,10,Completed,"Pulmonary Disease, Chronic Obstructive"
8808,NCT01079910,GSK,2009,12,Phase 1,0,Withdrawn,Gingivitis
8809,NCT00197262,GSK,2005,8,Phase 3,288,Completed,"Rhinitis, Allergic, Seasonal"
8810,NCT00896064,GSK,2009,5,Phase 2,43,Completed,Streptococcal Infections
8811,NCT01154114,GSK,2010,7,Phase 1,24,Completed,Atherosclerosis
8812,NCT00289796,GSK,2004,7,Phase 2,121,Completed,Hepatitis B
8813,NCT01659086,GSK,2012,8,Phase 1,422,Completed,"Influenza, Human"
8814,NCT01610492,GSK,2012,7,Phase 2,14,Completed,"Glomerulonephritis, Membranous"
8815,NCT02075515,GSK,2014,8,Phase 3,651,Completed,Herpes Zoster
8816,NCT01934101,GSK,2013,8,Phase 1,64,Terminated,"Arthritis, Rheumatoid"
8817,NCT01165242,GSK,2010,8,Phase 2,1013,Completed,Meningococcal Infections
8818,NCT00422955,GSK,2003,11,Phase 3,36,Completed,Diabetic Neuropathies
8819,NCT01602900,GSK,2011,11,Phase 1,8,Completed,Huntington Disease
8820,NCT00606697,GSK,2007,12,Phase 2,51,Completed,Sleep Initiation and Maintenance Disorders
8821,NCT02612064,GSK,2015,11,,488,Completed,Dentin Sensitivity
8822,NCT01376245,GSK,2011,4,Phase 3,646,Completed,"Pulmonary Disease, Chronic Obstructive"
8823,NCT01059578,GSK,2006,5,Phase 1,33,Completed,Depressive Disorder
8824,NCT00524303,GSK,2007,8,Phase 2,100,Completed,Breast Neoplasms
8825,NCT01894360,GSK,2013,10,Phase 1,81,Completed,"Lupus Erythematosus, Systemic"
8826,NCT03614728,GSK,2018,10,Phase 2,302,Not yet recruiting,Myelodysplastic Syndromes
8827,NCT02853435,GSK,2016,8,Phase 1,48,Completed,Bacterial Infections
8828,NCT00005106,GSK,1999,9,Phase 4,230,Completed,HIV Infections
8829,NCT00750360,GSK,2003,10,Phase 4,883,Completed,"Influenza, Human"
8830,NCT00774995,GSK,2008,11,Phase 4,49,Completed,Hepatitis B
8831,NCT00307554,GSK,2005,11,Phase 3,1600,Completed,Streptococcal Infections
8832,NCT00833989,GSK,2009,7,Phase 2,42,Completed,"Ischemic Attack, Transient"
8833,NCT00258050,GSK,2005,11,Phase 1,24,Completed,Breast Neoplasms
8834,NCT01788813,GSK,2013,3,Phase 2,42,Completed,Rhinitis
8835,NCT01721317,GSK,2012,12,Phase 4,6,Terminated,Seizures
8836,NCT00839254,GSK,2009,2,Phase 3,6181,Completed,Streptococcal Infections
8837,NCT00600782,GSK,2008,2,Phase 2,45,Completed,Tuberculosis
8838,NCT00659191,GSK,2008,2,Phase 1,58,Completed,HIV Infections
8839,NCT00296517,GSK,2006,1,Phase 3,325,Completed,Depressive Disorder
8840,NCT00555061,GSK,2007,9,Phase 4,60,Completed,Bacterial Infections
8841,NCT00758264,GSK,2008,10,Phase 3,363,Completed,Meningococcal Infections
8842,NCT00920088,GSK,2009,6,Phase 1,24,Completed,HIV Infections
8843,NCT00334607,GSK,2006,6,Phase 3,484,Completed,Rotavirus Infections
8844,NCT00048204,GSK,2002,11,Phase 2,372,Completed,"Depressive Disorder, Major"
